18.173	18.173	18.173	18.173	18.173	18.173	18.173	18.173	18.172	18.173	18.172	18.173	18.172	18.172	18.173	18.172	18.172	18.172	18.172	18.173	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.172	18.171	18.172	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.17	18.171	18.171	18.171	18.171	18.171	18.171	18.171	18.17	18.17	18.17	18.17	18.171	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17	18.17
17.416	17.416	17.415	17.416	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.415	17.414	17.415	17.415	17.415	17.415	17.414	17.415	17.415	17.414	17.415	17.415	17.414	17.415	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.414	17.413	17.414	17.414	17.413	17.413	17.413	17.413	17.414	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.413	17.412	17.413	17.413
16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.653	16.652	16.653	16.652	16.652	16.653	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.652	16.651	16.652	16.651	16.651	16.652	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.651	16.65	16.651	16.651	16.65	16.65	16.65
15.896	15.896	15.896	15.896	15.896	15.895	15.896	15.895	15.895	15.895	15.895	15.896	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.895	15.894	15.895	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.894	15.893	15.894	15.893	15.893	15.894	15.893	15.893	15.894	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893	15.893
15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.14	15.139	15.14	15.139	15.139	15.14	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.139	15.138	15.139	15.139	15.138	15.139	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.138	15.137	15.137	15.138	15.137	15.137	15.137
14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.386	14.385	14.386	14.386	14.385	14.386	14.386	14.386	14.386	14.385	14.386	14.386	14.385	14.386	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.385	14.384	14.385	14.385	14.385	14.385	14.384	14.384	14.385	14.384	14.385	14.385	14.384	14.385	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.385	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384	14.384
13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.629	13.628	13.629	13.628	13.628	13.629	13.628	13.629	13.629	13.628	13.628	13.628	13.628	13.629	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.628	13.627	13.628	13.628	13.627	13.628	13.627	13.627	13.628	13.627	13.628	13.627	13.627	13.628	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627	13.627
12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.87	12.869	12.87	12.87	12.869	12.87	12.87	12.87	12.87	12.869	12.87	12.87	12.869	12.87	12.87	12.87	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.869	12.868	12.869	12.869	12.868	12.869	12.869	12.869	12.869	12.868	12.869	12.869	12.868	12.869	12.868	12.868	12.869	12.868	12.868	12.869	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868	12.868
12.111	12.111	12.11	12.111	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.11	12.109	12.11	12.109	12.109	12.11	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.108	12.109	12.109	12.108	12.109	12.109	12.109	12.109	12.109	12.109	12.109	12.108	12.108	12.108	12.108	12.108	12.108
11.357	11.357	11.357	11.358	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.357	11.356	11.357	11.357	11.356	11.356	11.356	11.356	11.357	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.355	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.356	11.355	11.356	11.355	11.355
